"Date","ADC","AFL","ARKR","AZPN","CLFD","DTE","ENDP","FLWS","FR","GMXR","GPC","HE","ISSC","ISSI","KSS","MTSC","NWN","ODFL","PARL","RELV","SIGM","STT","TRIB","UTR"
2002-01-02,17.7,23.78,8.15,17.1,3.19,42.37,11.54,15.77,31.16,4.5,36.09,40.41,7.82,12.78,70.23,10.03,26.2,13.4,1.92,1.3,1.75,52.11,1.5,39.34
2002-01-03,16.14,23.52,8.15,17.41,3.27,42.14,11.48,17.4,31.45,4.37,35.9,40.53,7.29,13.4,69.65,10.85,26.25,13,1.94,1.22,2.11,52.9,1.55,39.49
2002-01-04,15.45,23.92,7.79,17.9,3.28,41.79,11.6,17.11,31.46,4.45,35.6,40.54,6.9,14.16,70.21,10.34,26.46,13,1.98,1.26,2.2,54.16,1.54,39.38
2002-01-07,16.59,23.12,7.79,17.49,3.5,41.48,11.9,17.38,31.1,4.38,35.83,40.25,6.3,13.81,70.17,9.99,26.84,13.32,1.94,1.28,2.11,55.14,1.55,38.55
2002-01-08,16.76,25.54,7.35,17.89,4.24,40.69,12.41,14.62,31.4,4.3,36,39.88,6.83,14.05,69.9,10.35,27.35,13.75,1.94,1.27,2.25,54.44,1.58,38.98
2002-01-09,16.78,26.3,7.4,18.25,4.25,40.81,12.27,14.27,31.05,4.25,36.2,39.9,7,14.15,69.01,10.15,26.15,13.74,1.97,1.28,2.16,54.92,1.64,39.6
2002-01-10,16.45,26.29,7.9,18.52,4,41.05,13,12.99,30.89,4,35.05,40.45,6.99,14.4,68.95,10.36,26.5,13.25,1.94,1.31,2.26,55.75,1.68,39.06
2002-01-11,15.45,26.08,7.9,17.95,4.11,41.02,12.6,12.87,30.64,4.3,35.51,40.4,6.89,14.55,67.69,10,27.11,13.25,1.88,1.37,2.2,55.74,1.8,38.96
2002-01-14,14.86,25.47,7.8,17.31,4,41.42,13.1,12.95,30.6,4.31,34.85,40.09,6.59,13.03,67.32,10.1,26.43,13.38,1.65,1.38,2.25,54.85,1.65,39.2
2002-01-15,14.75,25.75,7.85,17.2,3.9,42.01,13.09,12.84,30.55,4.2,34.79,40.44,6.45,13.14,67.02,10.05,27.6,13.25,1.9,1.38,2.24,55.44,1.63,39.87
2002-01-16,14.46,25.39,7.43,16.09,3.7,41.98,12.9,13.01,30.53,4,34.25,40.75,6.48,12.34,67.02,10.4,27.03,12.51,2,1.35,2.2,54.78,1.65,39.9
2002-01-17,14.7,25.05,7.43,16.41,4.77,41.66,10.56,12.86,30.5,4.05,34.53,40.74,6.48,12.87,68.65,10.31,26.97,13.49,1.85,1.35,2.15,54.9,1.83,40.6
2002-01-18,15.55,25.01,7.43,16.15,4.13,41.74,10.4,13.19,30.4,4.05,34.31,40.3,6.35,12.49,68.17,10.44,26.42,13.49,1.85,1.34,2.33,54.2,1.84,40.35
2002-01-22,14.85,25.1,7.43,14.8,4.07,40.95,10.61,13.98,30.62,4.05,34.8,39.86,5.4,11.7,68.52,9,26.5,13.34,1.93,1.34,2.2,55,1.83,40.39
2002-01-23,14.9,25.54,7.43,16.09,4.09,40.97,10.67,13.29,30.7,3.95,34.68,40.34,5.7,11.8,69.46,10,26.38,13.15,1.87,1.36,2.22,54.5,1.77,40.7
2002-01-24,14.96,25.92,7.43,19.6,4.15,41.18,11.05,13.25,30.83,3.6,34.55,40.51,5.8,12.05,68.44,10.26,26.2,13,1.87,1.25,2.29,54.59,1.8,40.98
2002-01-25,15.15,25.5,7.05,19.34,4,41.15,10.65,13.75,30.87,3.56,34.74,40.79,5.9,12.49,66.34,9.47,26.6,13,1.86,1.25,2.35,54.71,1.73,41.2
2002-01-28,15.27,25.53,7,19.56,3.87,41.02,10.43,12.83,30.81,3.78,35.41,41.35,6.19,13.02,66.75,9.55,26.14,13.25,1.8,1.46,2.31,54.26,1.68,41.25
2002-01-29,15.25,24.92,7,19.01,3.49,40.35,9.02,12.98,30.39,3.65,35.12,41.05,6.04,12.25,64.34,9.3,25.65,12.75,1.93,1.34,2.35,51.81,1.64,41.35
2002-01-30,15.35,25.06,6.7,19.25,3.5,40.38,9.15,12.3,30.94,3.65,35.13,41.51,6.14,12.69,66.3,9.9,25.88,12.6,1.8,1.3,2.45,52.81,1.65,40.35
